"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032784","regulation of DNA-templated transcription elongation","41/3687","104/18860",0.394230769230769,2.01659677453005,5.12454669983915,2.1710390980428e-06,0.000268818061119659,0.000235157813882741,"BRD4/CCNK/CCNT2/CDC73/EAPP/ERCC6/EZH2/GTF2F1/HMGN1/HNRNPU/INTS11/INTS13/INTS2/INTS3/INTS5/INTS7/KAT7/LARP7/LDB1/MED11/MED15/MED18/MED20/MED25/MED26/MED28/MED4/NELFA/NELFB/NELFCD/NELFE/PARP1/PPP1R10/RECQL5/SETD5/SIRT6/SUPT4H1/SUPT5H/TCEA2/VHL/WDR43",41
"GO:0050686","negative regulation of mRNA processing","15/3687","23/18860",0.652173913043478,3.33604556550041,5.52585556185135,2.23358391572596e-06,0.00027113956906391,0.000237188632536843,"C1QBP/CELF4/DYRK1A/HNRNPK/NPM1/PTBP1/RBM10/RBM42/RNPS1/SAP18/SRSF10/SRSF12/SRSF6/SRSF9/U2AF2",15
"GO:1902749","regulation of cell cycle G2/M phase transition","46/3687","122/18860",0.377049180327869,1.92870831054614,5.07291750596361,2.32372462057972e-06,0.000276657290884789,0.000242015448843778,"ABRAXAS1/ATF5/ATM/AURKA/BABAM2/BRD4/BRSK1/CCNB1/CCND1/CCNQ/CDC14B/CDC25B/CDC25C/CDC6/CDC7/CDK1/CDK10/CENPF/CHFR/DTL/FBXO5/FHL1/FOXN3/FOXO4/FZR1/INTS3/KCNH5/MARK3/MRNIP/NABP2/NAE1/NPM1/PABIR1/PAXIP1/PKMYT1/RAD21/RBBP8/RCC2/SMARCD3/TAOK1/TAOK2/TRIM39/UIMC1/VPS4B/WNT10B/ZFYVE19",46
"GO:0000075","cell cycle checkpoint signaling","63/3687","187/18860",0.336898395721925,1.72332621191091,4.90013593701494,3.35534236351473e-06,0.000391941973066409,0.000342864676470373,"ABRAXAS1/APC/ATM/BABAM2/BRD4/BRSK1/BUB3/CAMSAP3/CCNB1/CCND1/CDC14B/CDC45/CDC5L/CDC6/CDK1/CDT1/CENPF/CEP63/CHFR/CLOCK/CRY1/DNA2/DTL/ERCC6/FBXO31/FOXN3/FOXO4/FZR1/GEN1/GNB1L/H2AX/HASPIN/HORMAD1/INTS3/INTS7/KLHL22/KNL1/MAD1L1/MAD2L1/MRNIP/NABP2/NAE1/NSUN2/PABIR1/PLK3/PPP1R10/PRKDC/RAD9A/RBBP8/SETMAR/SKA1/SKA3/SPC24/SPDL1/TAOK1/TAOK2/TELO2/TRIAP1/TRIM39/UIMC1/WAC/ZFYVE19/ZWINT",63
"GO:0006260","DNA replication","89/3687","290/18860",0.306896551724138,1.56985868335157,4.82081413314679,3.44715659769753e-06,0.000395210120302693,0.000345723600295396,"ACTR8/ADRA2A/ASCC1/ATM/BOD1L1/CAMSAP3/CCNE2/CDC34/CDC45/CDC6/CDC7/CDK1/CDT1/CHRAC1/CHTF18/CHTF8/DDX11/DHX9/DNA2/DNAJA3/DTL/DYNLL1/E2F7/EHMT2/ENDOG/ESCO1/FBXO5/FZR1/GEN1/GINS3/GMNN/ING5/INO80C/INO80E/KAT7/KCTD13/KIN/LIG3/LRWD1/MCM2/MCM3/MCM4/MCM6/MEAF6/MMS22L/NFIB/NFIC/NFIX/ORC6/PARP1/PCNA/POLA1/POLA2/POLD3/POLE/POLG2/POLH/POLN/POLRMT/PRIM1/PRKDC/PURA/RBBP7/RBBP8/RECQL4/RECQL5/REV1/REV3L/RFC3/RMI1/RNF126/RPA1/RTEL1/SAMHD1/SENP2/SET/SETMAR/SLX4/SMARCA5/TOP1/TOP1MT/TWNK/UPF1/USP37/WAPL/WDHD1/WDR18/WRNIP1/YY1",89
"GO:0051054","positive regulation of DNA metabolic process","87/3687","283/18860",0.307420494699647,1.57253879306627,4.78377247384153,4.09375903860606e-06,0.000460808403782003,0.00040310794743786,"ABRAXAS1/ACD/ACTB/ACTR8/AKT1/ANKRD31/ARID1B/ATM/BABAM2/BCL7A/BCL7B/CCT3/CCT5/CDC7/CDK1/CDT1/CHTF18/CHTF8/DDX11/DHX9/DKC1/DNA2/DPF2/E2F7/ENDOG/EPC1/EPC2/ERCC2/ERCC6/FUS/H2AX/HNRNPA1/HSF1/HSP90AA1/INO80C/INO80E/KAT7/KCTD13/KLF4/KMT5C/MAP2K7/MBTD1/MEAF6/MLH1/MORF4L1/MORF4L2/MRGBP/MRNIP/NABP2/PARN/PARP1/PARP3/PAXIP1/PCNA/PIAS4/PKIB/PML/PMS2/POLG2/PPP1R10/PRDM9/PRKDC/PTGES3/RAD51AP1/RFC3/RNF126/RTEL1/SETMAR/SHLD2/SIRT6/SLX4/SMARCA4/SMARCA5/SMARCB1/SMARCC1/SMARCD3/SMCHD1/SPIRE2/TFRC/TIGAR/TNKS2/TRIM28/UIMC1/USP1/YEATS4/YY1/ZCWPW1",87
"GO:0010824","regulation of centrosome duplication","24/3687","50/18860",0.48,2.4553295362083,5.07939653150551,5.30171542300762e-06,0.000583196729192878,0.000510171330487781,"CCNF/CENATAC/CEP120/CEP295/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHORDC1/FBXW5/GEN1/MDM1/NAT10/NPM1/NUBP1/NUP62/PDCD6IP/PLK4/POC1A/RBM14/SPICE1/TRIM37/VPS4B",24
"GO:0070192","chromosome organization involved in meiotic cell cycle","29/3687","66/18860",0.439393939393939,2.24761857796846,5.00500320315707,5.36944169988597e-06,0.000583196729192878,0.000510171330487781,"ANKRD31/ATM/BAG6/CCNE2/EHMT2/HORMAD1/KASH5/MAEL/MAJIN/MCMDC2/MLH1/MLH3/MND1/MSH4/MSH5/NCAPD3/NCAPH/PRDM9/RNF212/SIRT7/SMC4/SPATA22/SPO11/STAG3/SYCE1/SYCE2/SYCP2/TEX15/ZCWPW1",29
"GO:0045132","meiotic chromosome segregation","38/3687","97/18860",0.391752577319588,2.00392015412189,4.88645688250528,6.01226731327867e-06,0.000641757705801867,0.000561399552210867,"ANKRD31/ATM/AURKA/BAG6/CCNE2/CHFR/EHMT2/FBXO5/HORMAD1/KASH5/KNL1/M1AP/MAEL/MAJIN/MCMDC2/MLH1/MLH3/MND1/MSH4/MSH5/NCAPH/PRDM9/RNF212/SIRT7/SKA1/SKA3/SMC4/SPATA22/SPO11/STAG3/SYCE1/SYCE2/SYCP2/TEX15/TUBB8/WASHC5/ZCWPW1/ZWINT",38
"GO:1901988","negative regulation of cell cycle phase transition","84/3687","274/18860",0.306569343065693,1.56818492276078,4.67016463001821,6.69787114833337e-06,0.000702822377615795,0.000614817967139611,"ABRAXAS1/APBB2/APC/ATF5/ATM/BABAM2/BRD4/BRSK1/BUB3/CACNB4/CAMSAP3/CCNB1/CCND1/CDC14B/CDC45/CDC5L/CDC6/CDC73/CDK1/CDK2AP2/CDT1/CENPF/CEP63/CHFR/CLOCK/CRY1/DACT1/DNA2/DTL/E2F7/ERCC6/EZH2/FBXO31/FBXO5/FBXO7/FHL1/FOXN3/FOXO4/FZR1/GEN1/GNB1L/H2AX/HASPIN/HORMAD1/INHBA/INTS3/INTS7/KANK2/KLF4/KLHL22/KNL1/MAD1L1/MAD2L1/MRNIP/NABP2/NAE1/NSUN2/PABIR1/PKD2/PKMYT1/PLK3/PPP1R10/PRKDC/PRMT2/RAD21/RAD9A/RBBP8/RBL2/SETMAR/SKA1/SKA3/SPC24/SPDL1/TAOK1/TAOK2/TELO2/TPRA1/TRIAP1/TRIM39/UIMC1/WAC/ZFP36L1/ZFYVE19/ZWINT",84
